wpdx_id,lat_deg,lon_deg,status_clean,pop_served_500m,install_year,is_urban,water_source_clean,water_tech_clean,geom_wkt,cluster_id
6GFP7JG3+6J3,-0.724486253,34.60404207,Non-Functional,385.1789071559906,,f,Protected Well,,POINT(34.60404207 -0.724486253),172
6GFP7JH2+GXV,-0.72115165,34.60261154,Non-Functional,374.92446780204773,,f,Protected Well,Motorized Pump - Electric,POINT(34.60261154 -0.72115165),172
6GFP7JHC+6F5,-0.721994155,34.62123998,Non-Functional,465.6106481552124,,f,Protected Well,,POINT(34.62123998 -0.721994155),172
6GFP7JJ9+H6H,-0.7185734,34.6181152,"Functional, not in use",480.85322761535645,2015,f,Protected Well,Public Tapstand,POINT(34.6181152 -0.7185734),
6GFP7JPF+4GC,-0.714688897,34.6237579,Non-Functional,495.07310819625854,,f,Protected Well,,POINT(34.6237579 -0.714688897),172
6GFP7JPF+8FJ,-0.714166,34.6236551,"Functional, not in use",510.9842381477356,2004,f,Protected Well,Public Tapstand,POINT(34.6236551 -0.714166),
6GFP7JPH+269,-0.714954,34.6281055,"Functional, needs repair",553.9386157989502,2020,f,Borehole/Tubewell,,POINT(34.6281055 -0.714954),172
6GFP7JQ7+884,-0.7117255,34.6133329,"Functional, not in use",489.2173385620117,2017,f,Undefined Well,Public Tapstand,POINT(34.6133329 -0.7117255),
6GFP7JRP+QR7,-0.7080786,34.6370318,"Functional, not in use",587.8049111366272,,f,Protected Well,Public Tapstand,POINT(34.6370318 -0.7080786),
6GFP7JV9+327,-0.7073365,34.6175377,"Functional, not in use",523.6505217552185,2012,f,Protected Well,Public Tapstand,POINT(34.6175377 -0.7073365),
6GFP7JWM+5HV,-0.7045224,34.6339195,"Functional, needs repair",555.6113443374634,2016,f,Protected Well,Public Tapstand,POINT(34.6339195 -0.7045224),201
6GFP7RWM+5X3,-0.7046159,34.8349325,"Functional, not in use",736.8271069526672,2020,f,Protected Well,Public Tapstand,POINT(34.8349325 -0.7046159),
6GFPXPRC+WRF,-0.00768428,34.72203409,Non-Functional,768.1347198486328,,f,Protected Well,,POINT(34.72203409 -0.00768428),196
6GFP7RWR+J9G,-0.703435,34.840955,"Functional, not in use",740.6487746238708,2017,f,Protected Well,Public Tapstand,POINT(34.840955 -0.703435),
6GFP7RXH+H84,-0.7011164,34.8283391,"Functional, needs repair",726.0071210861206,2000,f,Protected Well,Public Tapstand,POINT(34.8283391 -0.7011164),318
6GFP7V5Q+2VP,-0.7424067,34.8897067,"Functional, needs repair",986.368230342865,2019,f,Protected Well,Public Tapstand,POINT(34.8897067 -0.7424067),
6GFP7V6R+88P,-0.73917,34.8908417,"Functional, not in use",1009.0836038589478,2017,f,Protected Well,Public Tapstand,POINT(34.8908417 -0.73917),
